event,TP,FP,FN,TN,efficiency_%,purity_%
000000000,25,110,0,25,100.0,18.5
000000001,26,118,0,22,100.0,18.1
000000002,21,124,1,29,95.5,14.5
000000003,39,87,0,31,100.0,31.0
000000011,34,100,0,33,100.0,25.4
000000013,23,145,0,23,100.0,13.7
000000015,18,135,0,38,100.0,11.8
000000016,29,119,0,23,100.0,19.6
000000018,30,117,0,37,100.0,20.4
000000021,24,124,3,27,88.9,16.2
000000025,29,102,0,38,100.0,22.1
000000027,16,123,2,38,88.9,11.5
000000030,28,133,0,25,100.0,17.4
000000034,29,125,0,36,100.0,18.8
000000035,25,121,0,23,100.0,17.1
000000038,40,105,0,28,100.0,27.6
000000040,28,131,1,32,96.6,17.6
000000045,23,115,0,25,100.0,16.7
000000047,28,114,0,38,100.0,19.7
000000048,17,119,0,24,100.0,12.5
000000052,18,138,0,34,100.0,11.5
000000056,21,146,0,37,100.0,12.6
000000058,31,126,3,32,91.2,19.7
000000059,31,126,0,22,100.0,19.7
000000063,22,114,0,20,100.0,16.2
000000064,25,123,6,31,80.6,16.9
000000067,22,133,0,33,100.0,14.2
000000076,18,165,2,32,90.0,9.8
000000078,29,124,0,36,100.0,19.0
000000087,17,116,1,31,94.4,12.8
000000091,25,121,0,20,100.0,17.1
000000093,22,124,0,21,100.0,15.1
000000095,30,84,0,26,100.0,26.3
000000096,35,84,3,31,92.1,29.4
000000097,22,94,0,37,100.0,19.0
