event,TP,FP,FN,TN,efficiency_%,purity_%
000000000,18,117,5,26,78.3,13.3
000000001,23,128,3,26,88.5,15.2
000000002,17,128,5,25,77.3,11.7
000000003,33,92,6,25,84.6,26.4
000000004,15,133,3,23,83.3,10.1
000000005,36,107,7,27,83.7,25.2
000000006,21,128,4,26,84.0,14.1
000000007,17,136,3,26,85.0,11.1
000000008,23,127,7,28,76.7,15.3
000000009,46,114,5,27,90.2,28.8
000000010,26,98,1,26,96.3,21.0
000000011,29,108,5,25,85.3,21.2
000000012,21,148,3,29,87.5,12.4
000000013,17,155,6,26,73.9,9.9
000000014,21,114,5,28,80.8,15.6
000000015,9,143,7,27,56.2,5.9
000000016,24,126,5,34,82.8,16.0
000000017,17,165,5,26,77.3,9.3
000000018,22,121,6,30,78.6,15.4
000000019,11,157,3,25,78.6,6.5
000000020,24,131,4,24,85.7,15.5
000000021,24,124,1,26,96.0,16.2
000000022,19,148,5,27,79.2,11.4
000000023,28,99,2,29,93.3,22.0
000000024,13,154,6,28,68.4,7.8
000000025,22,111,5,26,81.5,16.5
000000026,17,127,3,28,85.0,11.8
000000027,11,126,5,33,68.8,8.0
000000028,25,124,6,27,80.6,16.8
000000029,26,124,3,26,89.7,17.3
000000030,23,142,5,28,82.1,13.9
000000031,12,129,6,27,66.7,8.5
000000032,16,125,6,25,72.7,11.3
000000033,11,150,6,25,64.7,6.8
000000034,20,131,7,27,74.1,13.2
000000035,19,128,6,27,76.0,12.9
000000036,37,106,2,26,94.9,25.9
000000037,17,128,5,28,77.3,11.7
000000038,34,112,6,28,85.0,23.3
000000039,29,108,4,29,87.9,21.2
000000040,22,135,5,26,81.5,14.0
000000041,20,133,3,28,87.0,13.1
000000042,16,117,5,28,76.2,12.0
000000043,39,81,2,28,95.1,32.5
000000044,39,112,6,26,86.7,25.8
000000045,22,130,1,23,95.7,14.5
000000046,20,121,3,28,87.0,14.2
000000047,21,122,5,27,80.8,14.7
000000048,11,129,6,28,64.7,7.9
000000049,23,114,6,26,79.3,16.8
000000050,23,131,5,27,82.1,14.9
000000051,22,117,5,28,81.5,15.8
000000052,13,146,5,26,72.2,8.2
000000053,27,148,0,23,100.0,15.4
000000054,30,129,2,26,93.8,18.9
000000055,17,119,6,26,73.9,12.5
000000056,13,154,6,26,68.4,7.8
000000057,14,147,5,26,73.7,8.7
000000058,26,128,6,28,81.2,16.9
000000059,25,136,6,27,80.6,15.5
000000060,14,114,4,25,77.8,10.9
000000061,43,109,4,28,91.5,28.3
000000062,28,166,4,31,87.5,14.4
000000063,20,122,2,27,90.9,14.1
000000064,23,120,4,28,85.2,16.1
000000065,22,135,5,28,81.5,14.0
000000066,26,126,3,24,89.7,17.1
000000067,20,133,2,32,90.9,13.1
000000068,29,118,2,31,93.5,19.7
000000069,12,142,6,27,66.7,7.8
000000070,15,116,6,27,71.4,11.5
000000071,24,120,4,24,85.7,16.7
000000072,24,105,5,26,82.8,18.6
000000073,29,99,5,26,85.3,22.7
000000074,32,125,7,27,82.1,20.4
000000075,14,116,6,26,70.0,10.8
000000076,16,171,4,26,80.0,8.6
000000077,36,102,4,27,90.0,26.1
000000078,21,130,6,26,77.8,13.9
000000079,13,148,5,25,72.2,8.1
000000080,28,126,3,27,90.3,18.2
000000081,22,141,4,26,84.6,13.5
000000082,19,126,6,26,76.0,13.1
000000083,29,155,6,27,82.9,15.8
000000084,15,101,5,27,75.0,12.9
000000085,11,181,6,28,64.7,5.7
000000086,14,133,5,26,73.7,9.5
000000087,13,123,5,25,72.2,9.6
000000088,24,127,5,28,82.8,15.9
000000089,31,103,6,27,83.8,23.1
000000090,20,138,6,25,76.9,12.7
000000091,18,131,7,27,72.0,12.1
000000092,22,126,6,27,78.6,14.9
000000093,15,132,5,26,75.0,10.2
000000094,12,135,6,25,66.7,8.2
000000095,24,94,6,27,80.0,20.3
000000096,29,84,5,25,85.3,25.7
000000097,14,101,6,27,70.0,12.2
000000098,18,154,4,25,81.8,10.5
000000099,13,111,5,26,72.2,10.5
